Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
62,3.0,0.0,0.0,218.0,2.0,156.0,3563.0,0.1,101.809,0.0,0.0,798.524719953537,,,,,,,,,,,,,,,,,,,,,44.327025908913754,29.262682011194922,95.08405698812874,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,333.0,3.0,115.0,3678.0,0.1,85.505,0.0,0.0,808.837884426117,,,,,,,,,,,,,,,,,,,,,36.275625646351784,25.785746019716914,81.49621398242041,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,411.0,4.0,78.0,3756.0,0.1,44.10500000000002,0.0,0.0,815.9915812015533,,,,,,,,,,,,,,,,,,,,,16.22854710889189,12.533427038486396,42.92498036124858,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,445.0,5.0,34.0,3790.0,0.1,16.207000000000008,0.0,0.0,819.3545413017273,,,,,,,,,,,,,,,,,,,,,4.866973110353052,5.450433079358751,16.073654148891634,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,521.0,6.0,76.0,3866.0,0.1,36.30600000000002,0.0,0.0,826.5268864631653,,,,,,,,,,,,,,,,,,,,,14.481338020941104,9.809866987468991,35.27593490428214,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,839.0,7.0,318.0,4184.0,0.1,195.80999999999992,0.0,0.0,854.3287675380707,,,,,,,,,,,,,,,,,,,,,86.1700608230286,50.26773832951673,168.74524239783017,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,880.0,8.0,41.0,4225.0,0.1,19.009000000000025,0.0,0.0,858.2621359825134,,,,,,,,,,,,,,,,,,,,,5.359556835862777,6.315285008282584,18.82689312909469,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,951.0,9.0,71.0,4296.0,0.1,32.606,0.0,0.0,864.8043415546417,,,,,,,,,,,,,,,,,,,,,12.785028287486632,9.45144681487948,31.76175473931235,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1058.0,10.0,107.0,4403.0,0.1,57.51100000000002,0.0,0.0,874.4109213352203,,,,,,,,,,,,,,,,,,,,,20.0549270855699,15.783354446983473,55.47601936455375,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,1231.0,11.0,173.0,4576.0,0.1,133.40699999999998,0.0,0.0,889.9998204708099,,,,,,,,,,,,,,,,,,,,,54.738666500921745,37.89476682142608,124.18545742473263,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1276.0,12.0,45.0,4621.0,0.1,19.10600000000003,0.0,0.0,894.2850608825684,,,,,,,,,,,,,,,,,,,,,5.291970202711747,6.050877221734987,18.905653742709653,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
